"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd-a_VI43","","VI.4.3","decimalni iznos","Ukupan iznos doprinosa za zapošljavanje po osnovi poduzetničke plaće","joppd-a_VI4","False","joppd-a"
"joppd-a_VI44","","VI.4.4","decimalni iznos","Ukupan iznos doprinosa za zapošljavanje po osnovi obavljanja samostalne djelatnosti za osobe koje su same za sebe obvezne obraćunati doprinose","joppd-a_VI4","False","joppd-a"
"joppd-a_VII","Zbroj stupca 15.2. sa stranice B Obrasca JOPPD.","VII","decimalni iznos","ISPLAĆENI NEOPOREZIVI PRIMICI","","False","joppd-a"
"joppd-a_VIII","Zbroj stupca 12.2. sa stranice B Obrasca JOPPD pod oznakom 5721 iz Priloga 3. Primici/obveze doprinosa.","VIII","decimalni iznos","NAPLAĆENA KAMATA ZA DOPRINOSE ZA MIROVINSKO OSIGURANJE NA TEMELJU INDIVIDUALNE KAPITALIZIRANE ŠTEDNJE","","False","joppd-a"
"joppd-a_IX","","IX","decimalni iznos","UKUPAN IZNOS NEOPOREZIVIH PRIMITAKA NEREZIDENATA KOJE ISPLAĆUJU NEPROFITNE ORGANIZACIJE DO PROPISANOG IZNOSA","","False","joppd-a"
"joppd-a_X","","X","view","PODACI O BROJU OSOBA I NAKNADI UTVRÐENOJ SUKLADNO ODREDBAMA ZAKONA O PROFESIONALNOJ REHABILITACIJI I ZAPOŠLJAVANJU OSOBA S INVALIDITETOM","","False","joppd-a"
"joppd-a_X1","","X.1","decimalni iznos","Broj osoba s invaliditetom koje je obveznik bio dužan zaposliti","","False","joppd-a"
"joppd-a_X2","","X.2","decimalni iznos","Iznos obračunane naknade","","False","joppd-a"
"__export__.l10n_hr_report_line_68","","B","","Strana B","","False","joppd-b"
"joppd-b_1","","1.","","Redni broj","","False","joppd-b"
"joppd-b_2","Šifra općine/grada prebivališta, odnosno uobičajenog boravišta. Za osobe koje nemaju prebivalite, odnosno uobičajeno boravište u Republici Hrvatskoj upisuje se 99999.","2.","","Šifra općine/grada prebivališta/boravišta","","False","joppd-b"
"joppd-b_3","Šifra općine/grada rada  unosi se za sljedeće skupine oznaka stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0004, 0008, 0009, 0021-0029, 0031-0039, 5701-5799 te za stjecatelje neoporezivih primitaka iz članka 13. stavka 2. i 12. ovoga Pravilnika to ih poslodavci isplaćuju svojim radnicima. Za ostale skupine stjecatelja primitka/osiguranika i stjecatelja neoporezivih primitaka/primitaka koji ne podliježu obvezi poreza na dohodak upisuje se 00000.","3.","","Šifra općine/grada rada","","False","joppd-b"
"joppd-b_4","OIB stjecatelja primitka, odnosno osiguranika.","4.","","OIB stjecatelja/osiguranika","","False","joppd-b"
"joppd-b_5","Ime i prezime stjecatelja primitka, odnosno osiguranika.","5.","","Ime i prezime stjecatelja/osiguranika","","False","joppd-b"
"joppd-b_61","Oznaka stjecatelja primitka, odnosno osiguranika  upisuju se oznake iz Priloga 2. Stjecatelj primitka/osiguranik, ili se upisuje oznaka 0000 kada se isplaćuje neoporezivi primitak po osnovi kojeg se ne utvrđuje obveza doprinosa za obvezna osiguranja. ","6.1.","","Oznaka stjecatelja/osiguranika","","False","joppd-b"
"joppd-b_62","Oznaka primitka/obveze doprinosa  upisuju se oznake iz Priloga 3. Primici/obveze doprinosa, ili se upisuje oznaka 0000 kada se isplaćuje neoporezivi primitak koji ne podliježe obvezi doprinosa za obvezna osiguranja i/ili kada izvjeće o korištenju prava iz obveznih osiguranja podnosi poslodavac, odnosno osoba koja je obveznik doprinosa, te obveznik obračunavanja i obveznik plaćanja doprinosa sukladno članku 182. stavku 3. Zakona o doprinosima.","6.2.","","Oznaka primitka/obveze doprinosa","","False","joppd-b"
"joppd-b_71","Obveza dodatnog doprinosa za mirovinsko osiguranje za staž osiguranja s povećanim trajanjem  upisuje se:0  ukoliko podnositelj po osnovi isplaćenog primitka/obračunane naknade ili osnovice za obračun doprinosa nema obvezu obračuna dodatnog doprinosa za mirovinsko osiguranje za sta osiguranja s povećanim trajanjem,1  ukoliko podnositelj po osnovi isplaćenog primitka/osnovice za obračun doprinosa ima obvezu obraèuna dodatnog doprinosa za mirovinsko osiguranje za sta osiguranja s povećanim trajanjem kada se 12 mjeseci raèuna kao 14 mjeseci,2  ukoliko podnositelj po osnovi isplaćenog primitka/osnovice za obračun doprinosa ima obvezu obračuna dodatnog doprinosa za mirovinsko osiguranje za sta osiguranja s povećanim trajanjem kada se 12 mjeseci računa kao 15 mjeseci,3  ukoliko podnositelj po osnovi isplaćenog primitka/osnovice za obračun doprinosa ima obvezu obračuna dodatnog doprinosa za mirovinsko osiguranje za sta osiguranja s povećanim trajanjem kada se 12 mjeseci računa kao 16 mjeseci,4  ukoliko podnositelj po osnovi isplaćnog primitka/osnovice za obračun doprinosa ima obvezu obračuna dodatnog doprinosa za mirovinsko osiguranje za sta osiguranja s povećanim trajanjem kada se 12 mjeseci računa kao 18 mjeseci.","7.1.","","Obveza dodatnog doprinosa za MO za sta s povećanim trajanjem","","False","joppd-b"
"joppd-b_72","Tip umanjenja osnovice upisuje se: 0 – ukoliko stjecatelj nema pravo na umanjenje, 1 - ukoliko stjecatelj ima ukupan iznos mjesečnih bruto plaća do 700,00 eura, 2 – ukoliko stjecatelj ima ukupan iznos mjesečnih bruto plaća od 700,01 do 1.300,00 eura, 3 – ukoliko stjecatelj ima više poslodavaca i dostavlja izjavu o iznosima mjesečnih bruto plaća, 4 – ukoliko se za stjecatelja se koriste podaci Porezne uprave o iznosu umanjenja mjesečne osnovice,","7.2.","","Tip umanjenja osnovice","","False","joppd-b"
"joppd-b_8"," Oznaka prvog/zadnjeg mjeseca u obveznom osiguranju po istoj osnovi  upisuje se:0  ukoliko po osnovi isplaćenog primitka/obračunane naknade ili osnovice za obračun doprinosa ne postoji obveza prethodnog obveznog osiguranja ili utvrđivanja prava po toj osnovi,1  ukoliko je to prvi mjesec obveznog osiguranja/koritenja prava po osnovi za koju je izvren obračun,2  ukoliko je to zadnji mjesec obveznog osiguranja/korištenja prava po osnovi za koju je izvršen obračun,3  ukoliko su to ostali mjeseci unutar obveznog osiguranja/korištenja prava po osnovi za koju je izvršen obračun,4  ukoliko obvezno osiguranje/korištenje prava po osnovi za koju je izvršen obračun počinje i završava unutar jednog (izvještajnog) mjeseca,5  ukoliko je obveza doprinosa nastala nakon prestanka obveznog osiguranja i ne odnosi se na određeni mjesec proveden u tom osiguranju.Oznake od 1 do 5 unose se za sve skupine stjecatelja primitka/osiguranika za koje se pod razdoblje za koje se obračunava obveza doprinosa i/ili razdoblje za koje se primitak isplaćuje (pod 10.1. i 10.2.) upisuje mjesec dana ili kraće od mjesec dana, odnosno vie od mjesec dana ako se isplaćuju zaostale plaće i mirovine, te za ostale primitke od nesamostalnog rada iz članka 22. stavka 3. Zakona o doprinosima,","8.","","Oznaka prvog/zadnjeg mjeseca u osiguranju po istoj osnovi","","False","joppd-b"
"joppd-b_9","Oznaka punog, nepunog radnog vremena ili rada s polovicom radnog vremena   upisuje se:0  ukoliko ne postoji radno vrijeme,1  ukoliko je osiguranik prijavljen na puno radno vrijeme,2  ukoliko je osiguranik prijavljen na nepuno radno vrijeme,3  za osobe koje rade s polovicom punog radnog vremena radi njege djeteta s teškoćama u razvoju.Oznake od 1 do 3 unose se za sljedeće skupine oznaka stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0019; 0021-0029; 0031-0039; 5701-5799, a oznaka 0 za sve ostale skupine oznaka stjecatelja primitka/osiguranika,","9.","","Oznaka punog/nepunog radnog vremena ili rada s polovicom radnog vremena","","False","joppd-b"
"joppd-b_10","Broj sati rada (pod 10.)  upisuje se broj obračunanih sati rada za isplatu plaće, za slijedeće skupine oznaka stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0019, 0021-0029, 0031-0039, 5701-5799, a kada izvješće o korištenju prava iz obveznih osiguranja podnosi poslodavac, odnosno osoba koja je obveznik doprinosa, te obveznik obračunavanja i obveznik plaćanja doprinosa sukladno članku 182. stavku 3. Zakona o doprinosima upisuje se broj obračunanih sati rada za vrijeme korištenja prava. Oznaka 0 upisuje se za sve ostale skupine oznaka stjecatelja primitka/osiguranika. Kod isplate zaostale plaće ne upisuje se broj sati rada za mjesece za koje se plaća isplaćuje ako je isti iskazan u ranijim razdobljima kod podnošenja izvjeća za obračunane doprinose za obvezna osiguranja po osnovi plaće. Obračunani sati rada za pojedini mjesec iskazuju se samo jednom, kod isplate redovne plaće odnosno obračuna obveznih doprinosa, a kod svih ostalih isplata u tijeku jednog mjeseca (za ostale primitke koji se isplaćuju uz plaću, za isplatu određenog primitka u naravi i drugo) ne upisuje se broj sati rada. odnosno upisuje se 0,","10.","","Sati rada","","False","joppd-b"
"joppd-b_101","Razdoblje za koje se obračunava obveza doprinosa i/ili razdoblje za koje se primitak isplaćuje odnosno u kojem se isplaćuje. Razdoblje moe biti:1. mjesec dana ili kraće od mjesec dana ako u jednom mjesecu počinje i/ili zavrava razdoblje osiguranja prema istoj osnovi osiguranja, to se upisuje u formatu od DD.MM.GGGG. do DD.MM.GGGG  2. više mjeseci, a manje od godinu dana (kalendarske godine), to se upisuje u formatu od DD.MM.GGGG. do DD.MM. 3. te kalendarska godina to se upisuje u formatu od 01.01.GGGG. do 31.12.GGGG., ","10.1.","","Razdoblje obračuna od","","False","joppd-b"
